sample_season,lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
Fall,30,31,31,0.9958064516128892,-0.35709677419350006,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Winter,16,31,31,1.169999999999998,-0.461612903225774,70.96774193548387,83.87096774193549,96.7741935483871,16.129032258064516
Winter,7,31,31,1.1119354838709616,-0.5138709677419078,67.74193548387096,83.87096774193549,100.0,16.129032258064516
Winter,8,31,31,1.0829032258064455,-0.542903225806424,70.96774193548387,83.87096774193549,100.0,16.129032258064516
Winter,9,31,31,1.0829032258064455,-0.542903225806424,70.96774193548387,83.87096774193549,100.0,16.129032258064516
Fall,35,31,31,0.9958064516128878,-0.3570967741935005,77.41935483870968,83.87096774193549,96.7741935483871,35.483870967741936
Fall,36,31,31,0.9958064516128878,-0.3570967741935005,77.41935483870968,83.87096774193549,96.7741935483871,35.483870967741936
Fall,31,31,31,0.9958064516128892,-0.35709677419350006,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,32,31,31,0.9958064516128892,-0.35709677419350006,74.19354838709677,83.87096774193549,93.54838709677419,35.483870967741936
Fall,18,30,30,1.0019999999999836,-0.113999999999947,73.33333333333333,83.33333333333334,93.33333333333333,33.33333333333333
Fall,4,30,30,1.0679999999999765,-0.18599999999994593,73.33333333333333,83.33333333333334,93.33333333333333,33.33333333333333
Winter,0,30,30,1.1159999999999946,-0.37199999999997,70.0,83.33333333333334,100.0,16.666666666666664
Winter,1,30,30,1.1159999999999946,-0.37199999999997,70.0,83.33333333333334,100.0,16.666666666666664
Fall,28,30,30,0.9659999999999835,-0.3719999999999516,73.33333333333333,83.33333333333334,93.33333333333333,36.666666666666664
Winter,24,29,29,1.2134482758620684,-0.5927586206896271,72.41379310344827,82.75862068965517,96.55172413793103,17.24137931034483
Winter,25,29,29,1.1048275862068964,-0.484137931034455,75.86206896551724,82.75862068965517,100.0,17.24137931034483
Winter,23,29,29,1.2444827586206904,-0.5555172413792809,72.41379310344827,82.75862068965517,96.55172413793103,17.24137931034483
Winter,22,29,29,1.1824137931034504,-0.425172413793073,75.86206896551724,82.75862068965517,96.55172413793103,17.24137931034483
Summer,20,32,32,1.125000000000004,0.03937500000003302,71.875,81.25,90.625,34.375
Summer,9,31,31,1.1177419354838771,0.09000000000004146,64.51612903225806,80.64516129032258,93.54838709677419,35.483870967741936
Summer,7,31,31,1.0887096774193599,0.11322580645165249,67.74193548387096,80.64516129032258,93.54838709677419,35.483870967741936
Summer,17,31,31,1.1583870967741963,0.03774193548390357,70.96774193548387,80.64516129032258,90.32258064516128,35.483870967741936
Winter,17,31,31,1.2048387096774187,-0.4964516129031947,70.96774193548387,80.64516129032258,96.7741935483871,16.129032258064516
Winter,20,31,31,1.1758064516129028,-0.4674193548386788,74.19354838709677,80.64516129032258,96.7741935483871,16.129032258064516
Summer,8,31,31,1.0887096774193599,0.11322580645165249,67.74193548387096,80.64516129032258,93.54838709677419,35.483870967741936
Summer,0,31,31,1.0887096774193608,0.1190322580645541,64.51612903225806,80.64516129032258,93.54838709677419,35.483870967741936
Summer,15,31,31,1.216451612903227,-0.026129032258033418,67.74193548387096,80.64516129032258,90.32258064516128,35.483870967741936
Summer,11,31,31,1.225161290322584,-0.029032258064477807,58.06451612903226,80.64516129032258,90.32258064516128,35.483870967741936
Summer,10,31,31,1.1758064516129056,0.020322580645200566,61.29032258064516,80.64516129032258,93.54838709677419,35.483870967741936
Winter,21,31,31,1.1758064516129028,-0.4674193548386788,74.19354838709677,80.64516129032258,96.7741935483871,16.129032258064516
Winter,14,31,31,1.0887096774193479,-0.612580645161259,70.96774193548387,80.64516129032258,100.0,16.129032258064516
Winter,18,31,31,1.1758064516129028,-0.4674193548386788,74.19354838709677,80.64516129032258,96.7741935483871,16.129032258064516
Winter,19,31,31,1.1758064516129028,-0.4674193548386788,74.19354838709677,80.64516129032258,96.7741935483871,16.129032258064516
Summer,18,31,31,1.1583870967741963,0.03774193548390357,70.96774193548387,80.64516129032258,90.32258064516128,35.483870967741936
Summer,19,31,31,1.1583870967741963,0.03774193548390357,70.96774193548387,80.64516129032258,90.32258064516128,35.483870967741936
Summer,16,31,31,1.1583870967741963,0.03774193548390357,70.96774193548387,80.64516129032258,90.32258064516128,35.483870967741936
Winter,13,31,31,1.0887096774193479,-0.612580645161259,70.96774193548387,80.64516129032258,100.0,16.129032258064516
Summer,12,31,31,1.2687096774193567,-0.07838709677415663,58.06451612903226,80.64516129032258,90.32258064516128,35.483870967741936
Summer,14,31,31,1.280322580645166,0.04354838709680793,64.51612903225806,77.41935483870968,90.32258064516128,35.483870967741936
Winter,15,31,31,1.210645161290317,-0.5487096774193224,67.74193548387096,77.41935483870968,96.7741935483871,16.129032258064516
Summer,13,31,31,1.3093548387096756,0.020322580645194148,58.06451612903226,77.41935483870968,90.32258064516128,35.483870967741936
Winter,29,30,30,1.1519999999999906,-0.8759999999999754,70.0,76.66666666666667,100.0,16.666666666666664
Winter,30,30,30,1.1519999999999906,-0.8759999999999754,70.0,76.66666666666667,100.0,16.666666666666664
Winter,28,30,30,1.1219999999999937,-0.8399999999999745,70.0,76.66666666666667,100.0,16.666666666666664
Summer,1,31,31,1.2164516129032275,0.24677419354842076,58.06451612903226,74.19354838709677,93.54838709677419,35.483870967741936
Summer,5,31,31,1.2454838709677447,0.3396774193548704,54.83870967741935,74.19354838709677,93.54838709677419,35.483870967741936
Summer,4,31,31,1.2570967741935535,0.3570967741935789,54.83870967741935,74.19354838709677,93.54838709677419,35.483870967741936
Summer,6,31,31,1.1874193548387124,0.3396774193548699,61.29032258064516,74.19354838709677,93.54838709677419,35.483870967741936
Summer,2,31,31,1.2454838709677447,0.3396774193548704,54.83870967741935,74.19354838709677,93.54838709677419,35.483870967741936
Summer,3,31,31,1.2454838709677447,0.3396774193548704,54.83870967741935,74.19354838709677,93.54838709677419,35.483870967741936
Winter,33,30,30,1.1579999999999921,-0.881999999999977,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Winter,31,30,30,1.187999999999992,-0.9119999999999767,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Winter,32,30,30,1.1699999999999926,-0.8639999999999763,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Winter,35,30,30,1.1879999999999933,-0.8459999999999757,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Winter,34,30,30,1.1879999999999933,-0.8459999999999757,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Winter,36,30,30,1.1279999999999963,-0.7799999999999746,66.66666666666666,73.33333333333333,100.0,16.666666666666664
Spring,27,30,30,1.6139999999999992,-0.3359999999999649,50.0,66.66666666666666,86.66666666666667,23.333333333333332
Spring,25,30,30,1.6439999999999988,-0.3059999999999652,50.0,66.66666666666666,86.66666666666667,23.333333333333332
Spring,26,30,30,1.6439999999999988,-0.3059999999999652,50.0,66.66666666666666,86.66666666666667,23.333333333333332
Spring,28,30,30,1.4879999999999944,-0.605999999999958,53.333333333333336,66.66666666666666,90.0,23.333333333333332
Spring,1,30,30,1.4339999999999988,-0.2219999999999568,56.666666666666664,63.33333333333333,90.0,23.333333333333332
Spring,22,30,30,1.583999999999998,-0.23999999999996693,53.333333333333336,63.33333333333333,86.66666666666667,23.333333333333332
Spring,15,30,30,1.4999999999999996,-0.5399999999999603,60.0,63.33333333333333,83.33333333333334,23.333333333333332
Spring,2,30,30,1.4339999999999988,-0.2219999999999568,56.666666666666664,63.33333333333333,90.0,23.333333333333332
Spring,3,30,30,1.4339999999999988,-0.2219999999999568,56.666666666666664,63.33333333333333,90.0,23.333333333333332
Spring,21,30,30,1.5539999999999992,-0.20399999999996227,56.666666666666664,63.33333333333333,86.66666666666667,23.333333333333332
Spring,29,30,30,1.625999999999992,-0.5399999999999565,50.0,60.0,86.66666666666667,23.333333333333332
Spring,23,30,30,1.679999999999996,-0.20399999999996937,46.666666666666664,60.0,86.66666666666667,23.333333333333332
Spring,24,30,30,1.715999999999994,-0.2399999999999674,46.666666666666664,60.0,83.33333333333334,23.333333333333332
Spring,0,30,30,1.4399999999999986,-0.2939999999999562,53.333333333333336,60.0,90.0,23.333333333333332
Spring,8,30,30,1.49999999999999,-0.47999999999996373,53.333333333333336,60.0,90.0,23.333333333333332
Spring,14,30,30,1.5059999999999965,-0.5519999999999631,60.0,60.0,83.33333333333334,23.333333333333332
Spring,30,30,30,1.6559999999999921,-0.5699999999999567,50.0,60.0,86.66666666666667,23.333333333333332
Spring,20,31,31,1.6693548387096706,-0.2990322580644775,51.61290322580645,58.06451612903226,83.87096774193549,22.58064516129032
Spring,6,30,30,1.5059999999999945,-0.40799999999996145,56.666666666666664,56.666666666666664,90.0,23.333333333333332
Spring,4,30,30,1.4759999999999944,-0.37799999999996126,56.666666666666664,56.666666666666664,90.0,23.333333333333332
Spring,5,30,30,1.5059999999999945,-0.40799999999996145,56.666666666666664,56.666666666666664,90.0,23.333333333333332
Spring,17,30,30,1.6319999999999955,-0.4079999999999643,53.333333333333336,56.666666666666664,83.33333333333334,23.333333333333332
Spring,16,30,30,1.6319999999999955,-0.4079999999999643,53.333333333333336,56.666666666666664,83.33333333333334,23.333333333333332
Spring,9,30,30,1.571999999999996,-0.4859999999999682,50.0,56.666666666666664,86.66666666666667,23.333333333333332
Spring,7,30,30,1.5359999999999914,-0.44399999999996237,53.333333333333336,56.666666666666664,90.0,23.333333333333332
Spring,10,30,30,1.535999999999998,-0.593999999999969,50.0,56.666666666666664,90.0,23.333333333333332
Spring,11,30,30,1.5359999999999963,-0.6599999999999705,50.0,56.666666666666664,90.0,23.333333333333332
Spring,12,30,30,1.5960000000000016,-0.5219999999999696,53.333333333333336,56.666666666666664,86.66666666666667,23.333333333333332
Spring,36,30,30,1.8179999999999945,-0.27599999999995883,53.333333333333336,56.666666666666664,83.33333333333334,23.333333333333332
Spring,13,30,30,1.5720000000000014,-0.5519999999999664,56.666666666666664,56.666666666666664,83.33333333333334,23.333333333333332
Spring,34,30,30,1.6979999999999946,-0.47999999999995707,50.0,53.333333333333336,86.66666666666667,23.333333333333332
Spring,32,30,30,1.7279999999999944,-0.5099999999999568,46.666666666666664,53.333333333333336,86.66666666666667,23.333333333333332
Spring,33,30,30,1.7579999999999947,-0.539999999999957,46.666666666666664,53.333333333333336,86.66666666666667,23.333333333333332
Spring,35,30,30,1.6979999999999946,-0.47999999999995707,50.0,53.333333333333336,86.66666666666667,23.333333333333332
Spring,18,30,30,1.7279999999999964,-0.31199999999996353,46.666666666666664,53.333333333333336,83.33333333333334,23.333333333333332
Spring,19,30,30,1.7279999999999964,-0.31199999999996353,46.666666666666664,53.333333333333336,83.33333333333334,23.333333333333332
Spring,31,30,30,1.7579999999999947,-0.47999999999995663,43.333333333333336,53.333333333333336,86.66666666666667,23.333333333333332
